Timestep,entities_sector_0,entities_sector_1,entities_sector_2,entities_sector_3,mov_0_to_0,mov_0_to_1,mov_0_to_2,mov_0_to_3,mov_1_to_0,mov_1_to_1,mov_1_to_2,mov_1_to_3,mov_2_to_0,mov_2_to_1,mov_2_to_2,mov_2_to_3,mov_3_to_0,mov_3_to_1,mov_3_to_2,mov_3_to_3
2180,170.0,113.0,124.0,143.0,170.0,0.0,0.0,2.0,0.0,113.0,0.0,1.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,140.0
10780,4.0,4.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0
2860,101.0,64.0,82.0,95.0,99.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2.0,0.0,82.0,0.0,0.0,1.0,0.0,95.0
5220,28.0,17.0,22.0,18.0,28.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,18.0
13800,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
10460,3.0,5.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
3610,66.0,38.0,58.0,54.0,66.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,53.0
14150,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
5290,27.0,17.0,21.0,17.0,27.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,17.0
11570,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0
