Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,EmptySpace Sector
90,5,0,0.0,0,0.0,1414,7.054507129749674e-06,1.0,4.58786794549287
90,6,0,0.0,0,0.0,1109,5.532848944054023e-06,1.0,4.587869467151055
90,7,0,0.0,0,0.0,1028,5.128736442279112e-06,1.0,4.587869871263557
100,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
100,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
100,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
100,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
100,4,1,0.5235987755982988,0,0.0,1427,7.119364691762931e-06,1.0,4.064269105037009
100,5,0,0.0,0,0.0,1410,7.034550956822518e-06,1.0,4.587867965449043
100,6,0,0.0,0,0.0,1102,5.497925641431499e-06,1.0,4.587869502074358
100,7,0,0.0,0,0.0,1029,5.133725485510901e-06,1.0,4.587869866274514
110,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
110,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
110,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
110,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
110,4,1,0.5235987755982988,0,0.0,1418,7.07446330267683e-06,1.0,4.064269149938398
110,5,0,0.0,0,0.0,1400,6.984660524504627e-06,1.0,4.587868015339475
110,6,0,0.0,0,0.0,1094,5.4580132955771875e-06,1.0,4.587869541986704
110,7,0,0.0,0,0.0,1030,5.13871452874269e-06,1.0,4.587869861285471
120,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
120,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
120,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
120,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
120,4,1,0.5235987755982988,0,0.0,1402,6.994638610968205e-06,1.0,4.06426922976309
120,5,0,0.0,0,0.0,1390,6.934770092186737e-06,1.0,4.587868065229907
120,6,0,0.0,0,0.0,1083,5.4031338200275085e-06,1.0,4.587869596866179
120,7,0,0.0,0,0.0,1033,5.153681658438057e-06,1.0,4.587869846318341
130,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
130,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
130,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
130,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
130,4,1,0.5235987755982988,0,0.0,1395,6.959715308345682e-06,1.0,4.064269264686392
130,5,0,0.0,0,0.0,1383,6.899846789564214e-06,1.0,4.58786810015321
130,6,0,0.0,0,0.0,1073,5.353243387709618e-06,1.0,4.587869646756611
130,7,0,0.0,0,0.0,1029,5.133725485510901e-06,1.0,4.587869866274514
140,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
140,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
140,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
140,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
140,4,1,0.5235987755982988,0,0.0,1378,6.874901573405269e-06,1.0,4.064269349500127
140,5,0,0.0,0,0.0,1378,6.874901573405269e-06,1.0,4.587868125098426
140,6,0,0.0,0,0.0,1065,5.313331041855306e-06,1.0,4.587869686668958
140,7,0,0.0,0,0.0,1028,5.128736442279112e-06,1.0,4.587869871263557
150,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
150,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
150,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
150,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
150,4,1,0.5235987755982988,0,0.0,1367,6.82002209785559e-06,1.0,4.064269404379603
150,5,0,0.0,0,0.0,1368,6.825011141087379e-06,1.0,4.587868174988858
150,6,0,0.0,0,0.0,1064,5.308341998623517e-06,1.0,4.587869691658001
150,7,0,0.0,0,0.0,1022,5.098802182888378e-06,1.0,4.587869901197816
160,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
160,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
160,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
160,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
160,4,1,0.5235987755982988,0,0.0,1361,6.790087838464856e-06,1.0,4.064269434313863
160,5,0,0.0,0,0.0,1361,6.790087838464856e-06,1.0,4.587868209912161
160,6,0,0.0,0,0.0,1062,5.298363912159939e-06,1.0,4.587869701636087
160,7,0,0.0,0,0.0,1022,5.098802182888378e-06,1.0,4.587869901197816
170,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
170,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
170,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
170,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
170,4,1,0.5235987755982988,0,0.0,1356,6.765142622305911e-06,1.0,4.064269459259078
170,5,0,0.0,0,0.0,1355,6.760153579074122e-06,1.0,4.58786823984642
170,6,0,0.0,0,0.0,1064,5.308341998623517e-06,1.0,4.587869691658001
170,7,0,0.0,0,0.0,1019,5.083835053193011e-06,1.0,4.587869916164946
180,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
180,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
180,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
180,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
180,4,1,0.5235987755982988,0,0.0,1353,6.750175492610544e-06,1.0,4.064269474226208
180,5,0,0.0,0,0.0,1349,6.730219319683388e-06,1.0,4.58786826978068
180,6,0,0.0,0,0.0,1059,5.283396782464572e-06,1.0,4.587869716603217
180,7,0,0.0,0,0.0,1016,5.068867923497644e-06,1.0,4.587869931132076
190,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
190,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
190,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
190,3,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
190,4,1,0.5235987755982988,0,0.0,1343,6.700285060292654e-06,1.0,4.06426952411664
190,5,0,0.0,0,0.0,1343,6.700285060292654e-06,1.0,4.587868299714939
190,6,0,0.0,0,0.0,1060,5.288385825696361e-06,1.0,4.587869711614174
190,7,0,0.0,0,0.0,1019,5.083835053193011e-06,1.0,4.587869916164946
200,0,0,0.0,1,2.1446605848506324,0,0.0,1.0,2.443214415149367
200,1,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
200,2,0,0.0,0,0.0,0,0.0,1.0,4.5878749999999995
